City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,Kapuskasing,CA,49.4169,-82.4331,50.94,92,100,3.49,overcast clouds
340,El Obraje,HN,14.0,-86.4333,68.88,99,100,1.5,overcast clouds
341,Itoman,JP,26.1247,127.6694,88.57,86,75,18.41,broken clouds
342,Panaba,MX,21.2833,-88.2667,79.38,70,4,10.42,clear sky
343,Goderich,CA,43.7501,-81.7165,56.91,79,7,6.22,clear sky
344,Planeta Rica,CO,8.4147,-75.5883,74.34,95,100,4.76,overcast clouds
345,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.43,57,85,6.33,overcast clouds
346,Kupino,RU,54.3663,77.2981,73.58,46,3,2.1,clear sky
347,Henties Bay,NA,-22.116,14.2845,59.9,79,0,4.72,clear sky
348,Pryazha,RU,61.6926,33.6216,56.25,91,78,5.84,broken clouds
349,Margate,GB,51.3813,1.3862,55.69,71,14,5.01,few clouds
