City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Luwuk,ID,85.44,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
277,Meulaboh,ID,83.01,overcast clouds,4.1363,96.1285,Kost Pria
279,Sao Joao Da Barra,BR,67.93,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
283,Palasa,IN,91.9,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
284,Flin Flon,CA,60.44,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
285,Birin,NP,69.69,moderate rain,26.8865,88.0718,Sangam hotel and lodge
290,Lewistown,US,70.2,mist,40.5992,-77.5714,Quality Inn & Suites
292,Yulara,AU,63.61,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
294,Kampot,KH,89.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
295,Karaton,ID,81.36,light rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
297,Marsa Matruh,EG,70.45,clear sky,31.3525,27.2453,Beau Site
298,Acarau,BR,76.42,overcast clouds,-2.8856,-40.12,castelo pizzaria
299,Curaca,BR,76.12,scattered clouds,-8.9903,-39.9094,Hotel Recanto Campestre
300,Guatire,VE,77.2,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
302,Atar,MR,91.81,clear sky,20.5169,-13.0499,Oumou Elghoura
303,Hovd,MN,80.47,clear sky,48.0056,91.6419,Hotel Khovd
304,Elat,IL,75.85,clear sky,29.5581,34.9482,Club Hotel Eilat
305,Tongren,CN,73.33,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
307,Mehran,IR,91.6,clear sky,33.1222,46.1646,بوتیک زنانه بهار
308,Yarmouth,US,68.11,scattered clouds,41.7057,-70.2286,Blue Rock Resort
309,Hami,CN,93.07,clear sky,42.8,93.45,Laoyutang Resort
310,Nizwa,OM,88.63,few clouds,22.9333,57.5333,Orient Apartments
311,Byron Bay,AU,65.71,broken clouds,-28.65,153.6167,Backpackers Inn
312,Veraval,IN,84.72,broken clouds,20.9,70.3667,Lords Inn Somnath
314,Azad Shahr,IR,70.75,clear sky,34.7909,48.5707,Hotel Amozesh Gah Ranandegi
315,Montgomery,US,73.69,clear sky,39.1501,-77.1997,Comfort Inn Shady Grove - Gaithersburg - Rockville
316,Conde,BR,72.86,few clouds,-7.2597,-34.9075,Pousada Beija Flor
318,Saint-Francois,FR,63.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
319,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
322,Changli,CN,70.03,moderate rain,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
324,Xining,CN,63.55,scattered clouds,36.6167,101.7667,Super Leisure Hotel
326,Cabo San Lucas,MX,90.7,clear sky,22.8909,-109.9124,Vista Roof Restaurant
329,Hambantota,LK,84.22,broken clouds,6.1241,81.1185,Bungalow 63
332,Saint-Pierre,RE,72.91,light rain,-21.3393,55.4781,Alize Plage
333,Mapastepec,MX,75.2,overcast clouds,15.4333,-92.9,Hotel San Carlos
334,Kapoeta,SS,77.09,scattered clouds,4.7717,33.5903,Eastgate Hotel
335,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
338,Black Forest,US,77.97,clear sky,39.0131,-104.7008,Datt Properties
340,El Obraje,HN,68.88,overcast clouds,14.0,-86.4333,Mack Führer
341,Itoman,JP,88.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
342,Panaba,MX,79.38,clear sky,21.2833,-88.2667,Hotel Don Fernando
344,Planeta Rica,CO,74.34,overcast clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
345,Sao Miguel Do Araguaia,BR,70.43,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
346,Kupino,RU,73.58,clear sky,54.3663,77.2981,Hotel Sibiria Inn
350,Pizarro,CO,77.36,light rain,4.9533,-77.366,Hotel Limonar
353,Gorele,TR,67.46,overcast clouds,41.0308,39.0031,Görele Öğretmenevi
354,Lander,US,72.41,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
359,Nijar,ES,76.64,clear sky,36.9665,-2.206,La Casa del Cine
360,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
362,Hervey Bay,AU,66.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
364,Cedar City,US,80.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
366,Kiama,AU,63.37,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
367,Miragoane,HT,80.19,scattered clouds,18.4423,-73.0876,Wj hotel
370,Kudat,MY,85.14,overcast clouds,6.8837,116.8477,Dream Garden Hotel
371,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
372,Nazarovo,RU,73.56,overcast clouds,56.0064,90.3914,Zarya
373,Kargasok,RU,65.05,broken clouds,59.0556,80.8572,Hotel Kargasok
374,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
377,Chiang Rai,TH,87.13,broken clouds,19.9167,99.9167,Imsuk Homestay at Chiang Rai
378,Vila Do Maio,CV,74.19,broken clouds,15.1333,-23.2167,Hotel Marilu
379,Halifax,CA,61.7,overcast clouds,44.6453,-63.5724,Hotel Halifax
380,Bilibino,RU,67.14,few clouds,68.0546,166.4372,Gostinitsa Severyanka
381,Porto Walter,BR,62.87,few clouds,-8.2686,-72.7439,Hotel Silva
384,Nyirabrany,HU,62.24,clear sky,47.5531,22.024,Ábrányi Nyírfás Vendégház (a vidék hangulata)
385,Paratinga,BR,75.2,scattered clouds,-12.6906,-43.1842,Pousada Magalhães 2
386,Phan Thiet,VN,86.99,broken clouds,10.9333,108.1,Hotel Saigon-PT
387,Teguise,ES,66.42,overcast clouds,29.0605,-13.564,B&B La Casona de Nazaret
390,Najran,SA,78.8,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
391,Turukhansk,RU,69.24,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
392,Maumere,ID,81.86,overcast clouds,-8.6199,122.2111,Sylvia Hotel
393,Trairi,BR,75.27,broken clouds,-3.2778,-39.2689,janelas do mar
394,Ust-Nera,RU,64.53,overcast clouds,64.5667,143.2,Hotel Ust-Nera
396,Bakong,CM,61.52,overcast clouds,5.0935,10.4852,Tagni Mbeu Njanga Jean
399,Carlsbad,US,69.82,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
401,College,US,68.58,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
