City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Beruwala,LK,2022-06-09 04:55:59,6.4788,79.9828,81.48,82,100,12.01
98,Jalu,LY,2022-06-09 04:55:59,29.0331,21.5482,76.5,51,0,6.91
99,Gigmoto,PH,2022-06-09 04:55:59,13.7796,124.39,87.35,67,99,8.03
100,Maceio,BR,2022-06-09 04:56:00,-9.6658,-35.7353,72.84,94,75,4.61
101,Victoria,HK,2022-06-09 04:54:34,22.2855,114.1577,82.18,92,95,17.0
102,Castro,BR,2022-06-09 04:56:00,-24.7911,-50.0119,51.89,97,54,5.37
103,Lipetsk,RU,2022-06-09 04:56:00,52.6031,39.5708,64.44,66,0,4.14
104,Piacabucu,BR,2022-06-09 04:53:15,-10.4056,-36.4344,73.15,90,49,4.32
105,Mehamn,NO,2022-06-09 04:56:01,71.0357,27.8492,46.31,75,22,21.14
106,Premia De Mar,ES,2022-06-09 04:56:01,41.4921,2.3652,72.01,76,94,2.15
107,Kyren,RU,2022-06-09 04:56:01,51.6828,102.1408,47.23,91,100,1.32
108,Matara,LK,2022-06-09 04:56:02,5.9485,80.5353,82.04,80,100,13.42
109,Camacupa,AO,2022-06-09 04:56:02,-12.0167,17.4833,44.78,78,61,4.83
110,Avarua,CK,2022-06-09 04:56:02,-21.2078,-159.775,75.25,73,75,5.75
111,Upernavik,GL,2022-06-09 04:56:03,72.7868,-56.1549,33.76,96,100,16.93
112,Saint Anthony,US,2022-06-09 04:56:03,45.0205,-93.218,64.92,53,0,5.75
113,Saint-Francois,FR,2022-06-09 04:56:03,46.4154,3.9054,56.64,88,100,10.36
114,Sao Francisco,BR,2022-06-09 04:56:04,-15.9486,-44.8644,62.08,39,9,0.65
115,Antofagasta,CL,2022-06-09 04:56:04,-23.65,-70.4,57.54,83,38,5.41
116,Georgetown,MY,2022-06-09 04:52:42,5.4112,100.3354,87.75,70,20,7.0
117,Iqaluit,CA,2022-06-09 04:56:05,63.7506,-68.5145,40.73,70,75,3.44
118,Tilichiki,RU,2022-06-09 04:56:05,60.4667,166.1,50.85,65,61,7.49
119,Kaitangata,NZ,2022-06-09 04:56:05,-46.2817,169.8464,44.64,86,76,3.15
120,Gisborne,NZ,2022-06-09 04:56:06,-38.6533,178.0042,61.05,69,99,12.5
121,Wilmington,US,2022-06-09 04:53:51,34.2257,-77.9447,78.91,85,71,3.0
122,Yellowknife,CA,2022-06-09 04:54:12,62.456,-114.3525,72.12,30,20,5.75
123,Buraydah,SA,2022-06-09 04:56:06,26.326,43.975,82.85,8,0,5.95
124,Bardiyah,LY,2022-06-09 04:56:07,31.7561,25.0865,74.19,72,0,2.82
125,Broken Hill,AU,2022-06-09 04:56:07,-31.95,141.4333,56.12,49,15,13.73
126,Kalemie,CD,2022-06-09 04:56:07,-5.9475,29.1947,70.84,73,15,12.3
127,Hithadhoo,MV,2022-06-09 04:56:08,-0.6,73.0833,82.44,72,99,1.52
128,Ikom,NG,2022-06-09 04:56:08,5.9667,8.7063,72.21,99,97,2.15
129,Conceicao Do Araguaia,BR,2022-06-09 04:56:08,-8.2578,-49.2647,75.06,60,43,0.56
130,Bocana De Paiwas,NI,2022-06-09 04:56:09,12.7857,-85.1227,72.46,97,100,3.29
131,Ndioum,SN,2022-06-09 04:56:09,16.5129,-14.6471,78.69,62,85,13.4
132,Leh,IN,2022-06-09 04:56:09,34.1667,77.5833,50.59,62,99,4.21
133,Lae,PG,2022-06-09 04:56:10,-6.7221,146.9847,93.87,66,77,6.49
134,Vardo,NO,2022-06-09 04:57:10,70.3705,31.1107,48.18,57,26,5.75
135,Nadvoitsy,RU,2022-06-09 04:57:10,63.8667,34.3167,54.75,75,100,11.03
136,Peace River,CA,2022-06-09 04:57:11,56.2501,-117.286,57.51,88,75,4.61
137,Korschenbroich,DE,2022-06-09 04:57:11,51.1914,6.5135,57.99,93,75,5.75
138,Camacha,PT,2022-06-09 04:57:11,33.0833,-16.3333,62.02,94,75,10.36
139,Acapulco,MX,2022-06-09 04:55:53,16.8634,-99.8901,80.06,81,76,2.1
140,Nuuk,GL,2022-06-09 04:57:12,64.1835,-51.7216,39.2,73,6,4.63
141,Fraserburgh,GB,2022-06-09 04:57:12,57.6874,-2.0184,52.12,95,100,6.73
142,Grindavik,IS,2022-06-09 04:57:12,63.8424,-22.4338,49.95,81,75,4.61
143,Lerwick,GB,2022-06-09 04:57:13,60.1545,-1.1494,51.8,85,100,13.67
144,Mount Isa,AU,2022-06-09 04:57:13,-20.7333,139.5,67.77,24,5,11.5
145,Cayenne,GF,2022-06-09 04:57:14,4.9333,-52.3333,76.08,1,100,5.01
146,Viedma,AR,2022-06-09 04:57:14,-40.8135,-62.9967,56.28,45,80,21.25
147,Tukrah,LY,2022-06-09 04:57:15,32.5341,20.5791,73.92,70,0,1.77
148,Limbang,MY,2022-06-09 04:57:15,4.75,115.0,87.06,76,100,5.1
149,Nikolskoye,RU,2022-06-09 04:57:15,59.7035,30.7861,62.87,96,100,4.65
150,Nouakchott,MR,2022-06-09 04:57:16,18.0858,-15.9785,69.73,91,93,9.04
151,Norman Wells,CA,2022-06-09 04:57:16,65.282,-126.8329,46.44,71,100,2.3
152,Dunda,TZ,2022-06-09 04:57:16,-8.1167,34.25,59.77,67,1,3.27
153,Nemuro,JP,2022-06-09 04:57:17,43.3236,145.575,51.06,82,86,12.82
154,Kailua,US,2022-06-09 04:57:17,21.4022,-157.7394,82.02,73,100,11.5
155,Batagay-Alyta,RU,2022-06-09 04:57:17,67.8006,130.4114,63.05,19,16,14.07
156,Codrington,AU,2022-06-09 04:57:18,-38.2667,141.9667,54.34,75,96,17.78
157,Orlik,RU,2022-06-09 04:57:18,52.5178,99.825,43.39,90,100,6.55
158,Arlit,NE,2022-06-09 04:57:18,18.7369,7.3853,84.36,11,0,12.73
159,Saskylakh,RU,2022-06-09 04:57:19,71.9167,114.0833,57.47,63,60,14.9
160,Mantua,IT,2022-06-09 04:57:19,45.1667,10.7833,65.44,86,98,1.01
161,Atar,MR,2022-06-09 04:57:19,20.5169,-13.0499,83.03,35,54,4.32
162,Nieuw Amsterdam,SR,2022-06-09 04:57:20,5.8833,-55.0833,78.03,90,99,8.14
163,Morondava,MG,2022-06-09 04:57:20,-20.2833,44.2833,70.05,65,0,7.25
164,Monteagudo,BO,2022-06-09 04:57:21,-19.8167,-63.9833,59.58,96,100,1.57
165,Atambua,ID,2022-06-09 04:57:21,-9.1061,124.8925,73.47,88,100,6.82
166,Maryville,US,2022-06-09 04:57:21,35.7565,-83.9705,71.67,94,100,8.99
167,Half Moon Bay,US,2022-06-09 04:57:22,37.4636,-122.4286,63.41,86,100,14.97
168,Fergus Falls,US,2022-06-09 04:57:22,46.283,-96.0776,59.07,69,0,0.0
169,Cabo San Lucas,MX,2022-06-09 04:55:59,22.8909,-109.9124,75.61,67,2,1.99
170,Thompson,CA,2022-06-09 04:57:23,55.7435,-97.8558,48.36,87,75,3.44
171,Tuktoyaktuk,CA,2022-06-09 04:57:23,69.4541,-133.0374,30.2,80,100,12.66
172,Merauke,ID,2022-06-09 04:57:23,-8.4667,140.3333,82.83,75,46,15.97
173,Mayo,US,2022-06-09 04:57:23,38.8876,-76.5119,73.18,93,75,8.05
174,Idenao,CM,2022-06-09 04:57:24,4.2475,9.0047,76.28,87,98,2.26
175,Clyde River,CA,2022-06-09 04:57:24,70.4692,-68.5914,32.23,93,100,10.36
176,Kurilsk,RU,2022-06-09 04:57:25,45.2333,147.8833,45.82,76,99,1.7
177,Westport,US,2022-06-09 04:58:25,41.1415,-73.3579,71.1,88,100,4.61
178,Zheleznodorozhnyy,RU,2022-06-09 04:58:25,55.7503,38.0042,66.72,52,31,2.55
179,Batsfjord,NO,2022-06-09 04:58:26,70.6345,29.7185,46.33,65,100,5.75
180,Salalah,OM,2022-06-09 04:58:26,17.0151,54.0924,84.49,66,62,3.71
181,Sambava,MG,2022-06-09 04:58:26,-14.2667,50.1667,74.21,73,14,11.9
182,Mecca,SA,2022-06-09 04:57:02,21.4267,39.8261,87.94,42,17,7.31
183,Consolacion Del Sur,CU,2022-06-09 04:58:27,22.5047,-83.5136,74.37,91,50,5.03
184,Kushima,JP,2022-06-09 04:58:27,31.4583,131.2333,75.96,73,100,6.55
185,Mayenne,FR,2022-06-09 04:58:27,48.3333,-0.6667,53.04,97,76,5.86
186,Colon,PA,2022-06-09 04:58:27,9.3592,-79.9014,80.15,87,58,7.96
187,Lebu,CL,2022-06-09 04:58:28,-37.6167,-73.65,52.02,89,96,8.34
188,Nioro,GM,2022-06-09 04:58:28,13.35,-15.75,80.67,75,100,6.85
189,Henties Bay,NA,2022-06-09 04:58:28,-22.116,14.2845,66.61,40,0,5.75
190,Beipiao,CN,2022-06-09 04:58:29,41.7919,120.7792,74.82,42,49,8.43
191,Kuvandyk,RU,2022-06-09 04:58:29,51.4781,57.3552,50.32,96,78,9.89
192,Darnah,LY,2022-06-09 04:58:29,32.767,22.6367,74.44,67,0,5.46
193,Iberia,US,2022-06-09 04:58:30,29.9502,-91.7507,80.06,84,3,7.85
